district,lat,lon,ndvi,ndbi,ndwi,surface_temp_c,elevation_m,slope_degrees,texture_contrast,texture_homogeneity,land_type,year
Mumbai,19.488800800407862,72.98806300781816,0.082,0.189,0.03,35.66,31.8,9.25,0.145,0.491,urban,2010
Mumbai,19.53968518868705,72.75468616728685,0.719,-0.4,-0.26,28.82,55.92,5.15,0.18,0.21,forest,2013
Mumbai,18.982416536574018,73.25753774794147,0.141,-0.052,-0.022,44.12,57.57,1.26,0.565,0.66,urban,2021
Mumbai,19.252398368910008,72.67866631963163,0.159,0.44,-0.064,33.71,30.97,2.02,0.827,0.656,urban,2021
Mumbai,18.723958334109405,73.36235447759084,-0.39,-0.197,0.537,25.81,61.66,0.4,0.361,0.481,water,2011
Mumbai,19.021825549827017,73.19435524320163,-0.016,-0.022,-0.358,42.0,42.55,5.65,0.117,0.221,urban,2010
Mumbai,19.327423317531302,73.3190343927869,0.254,-0.048,-0.123,43.87,38.8,8.3,0.207,0.761,urban,2013
Mumbai,18.78080240905621,73.17569803521923,0.171,0.118,0.157,35.58,33.22,7.01,0.712,0.758,urban,2019
Mumbai,19.55261763731501,72.75490178245764,0.195,-0.062,-0.229,35.68,30.45,9.83,0.614,0.631,urban,2013
Mumbai,18.969755141565408,72.98591137676645,0.821,-0.326,0.109,23.45,94.77,2.19,0.361,0.654,forest,2021
Mumbai,18.97598301829357,72.43509184368828,0.078,0.345,-0.34,32.76,29.99,4.74,0.234,0.413,urban,2013
Mumbai,19.080637287977435,72.38505304455443,0.133,0.431,-0.394,39.77,66.47,4.19,0.661,0.446,urban,2014
Mumbai,19.293261875865756,72.95977013112423,-0.085,-0.235,0.319,26.95,97.9,4.21,0.502,0.746,water,2010
Mumbai,19.438959623313018,72.85825994083628,0.819,-0.154,-0.18,25.8,38.61,9.67,0.658,0.25,forest,2012
Mumbai,19.547845301325484,72.8903152441032,0.328,-0.28,-0.208,36.78,20.4,8.26,0.546,0.233,agricultural,2015
Mumbai,19.047626365195264,72.60518160369354,0.016,0.182,0.101,35.96,19.27,1.29,0.338,0.668,urban,2013
Mumbai,19.03635537313483,73.08737134350453,-0.4,-0.367,0.77,26.74,98.81,4.85,0.243,0.735,water,2015
Mumbai,19.350485603119793,72.51213342736955,0.293,-0.07,-0.432,41.37,28.18,1.84,0.131,0.213,urban,2016
Mumbai,19.008839921057174,72.9132424730978,0.087,0.264,-0.2,32.35,78.35,0.11,0.71,0.736,urban,2023
Mumbai,19.08495904042205,72.83052480528433,0.091,0.134,0.121,43.62,33.58,6.15,0.842,0.777,urban,2014
Mumbai,18.630966306839824,72.95624181820354,-0.333,-0.116,0.371,28.64,28.26,2.79,0.424,0.799,water,2021
Mumbai,19.542558439380546,73.32240738167249,-0.067,-0.007,-0.192,38.64,25.88,3.16,0.17,0.382,urban,2011
Mumbai,19.536746302771355,72.91524014364035,-0.066,-0.272,0.137,28.06,81.07,9.48,0.173,0.297,barren,2016
